,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
50,922.6036,0.0,1083.5801,984.4366,Naive
355,1242.064,0.0,1550.0834,1227.7778,Naive
362,727.5135,0.0,981.8087,1523.6306,Naive
501,1552.6466,2602.8934,864.5676,0.0,Naive
673,1610.9555,0.0,705.416,0.0,Naive
758,2239.0585,1780.0637,812.0704,5081.0063,Naive
776,3206.3909000000003,2756.1273,1937.5356,1761.5928,Naive
796,7908.9239,0.0,766.3047,3110.8048999999996,Naive
1315,1019.9689,4858.9981,893.4415,0.0,Naive
1322,934.7431,813.9268,807.9236,0.0,Naive
1336,957.5023,0.0,2784.1218,1508.9836,Naive
1340,833.2161,3438.3659000000002,2872.6486999999997,1676.1143,Naive
1350,916.8384,827.0233,667.1466,0.0,Naive
1362,704.2977,866.3023,2069.6569,0.0,Naive
1375,1181.385,3241.2389000000003,1811.1072,0.0,Naive
1378,1212.361,2601.6542,1023.6602,0.0,Naive
1408,1351.6879,0.0,872.5225,0.0,Naive
1419,753.0977,5484.6699,3432.2985,0.0,Naive
1424,865.7073,2815.8458,998.5194,0.0,Naive
1432,1374.9104,2293.197,738.0,0.0,Naive
1497,1069.2302,0.0,1800.3451,951.2345,Naive
1602,977.9406,0.0,918.3978,0.0,Naive
18,4240.9698,0.0,1317.6777,720.9641,Infected
27,2561.1155,0.0,2666.8848,663.6027,Infected
29,1174.7,4861.9317,4937.4148,0.0,Infected
42,6962.4565,1556.1728,5174.1619,2123.6836,Infected
47,1230.7941,1797.6444,1010.0088,1784.2529,Infected
53,1565.4395,768.7445,1264.3227000000002,793.1729,Infected
58,828.545,2005.7936,1254.6299,0.0,Infected
62,11732.548899999998,805.0222,4030.3792000000003,3314.769,Infected
65,1228.3632,1554.2848,810.6842,692.3383,Infected
68,2724.1516,0.0,7763.7241,832.2696,Infected
69,3573.9345,1645.2302,2158.073,2370.2891,Infected
71,1595.7964,787.3565,1303.0,4088.7007,Infected
75,2514.5389999999998,4041.6120999999994,1261.7961,1092.064,Infected
85,1710.7947,0.0,946.04,735.454,Infected
86,7847.7454,1087.873,5118.3945,2572.1692000000003,Infected
87,1725.5901,0.0,1530.9568,0.0,Infected
96,1825.3281,0.0,1407.4967,771.5095,Infected
102,1747.3673,3348.1339000000003,1891.454,843.6875,Infected
108,1081.963,0.0,2278.127,1547.4764,Infected
111,861.768,3106.6853,630.171,0.0,Infected
139,1512.3774,0.0,2054.6081000000004,4506.607599999999,Infected
142,1737.4535,761.0485,1582.4467,0.0,Infected
143,2644.3860999999997,760.6968,767.5812,0.0,Infected
144,1279.1102,5417.6782,1768.196,5024.5278,Infected
170,13883.6584,1489.3067,6866.004800000001,5177.0459,Infected
175,2685.2564,715.9174,9578.5363,674.0693,Infected
176,1709.0571,1788.9511,1920.9831,2989.3934,Infected
179,1970.392,8960.250199999999,5812.277,0.0,Infected
188,3632.1602,0.0,728.1138,3225.6507,Infected
192,4564.1816,750.6724,1818.5701,1350.6348,Infected
201,3611.6744,0.0,8679.6505,4514.4583999999995,Infected
203,1603.7904,1609.874,1308.7653,0.0,Infected
222,1601.6449,0.0,2401.4652,2639.7696,Infected
226,2180.0063,0.0,2922.2801,1337.6097,Infected
230,1599.037,0.0,2229.9214,0.0,Infected
237,1072.6075,3655.2494,1552.6042,798.8397,Infected
238,1318.0148,0.0,767.8207,0.0,Infected
240,897.9741,0.0,675.5641,2507.0484,Infected
244,3959.7614999999996,0.0,2598.5393,0.0,Infected
248,5921.2613,1565.9429,7280.9077,1497.7122,Infected
258,1374.2257,2266.0865999999996,1025.8497,1869.0702,Infected
259,3476.2343,0.0,4854.8242,0.0,Infected
261,1160.4559,7519.7244,1299.1423,0.0,Infected
268,2188.2261,928.6744,2085.2036,0.0,Infected
275,1750.0459,1567.2331,1341.1528,967.4644,Infected
277,4003.7746,0.0,2129.9651,2182.2812000000004,Infected
281,2249.6074,4935.032500000001,855.7173,3019.9601000000002,Infected
283,1868.5857,1478.2845,2640.2801,2577.9543,Infected
301,2427.4802,0.0,3526.1069,0.0,Infected
305,1639.9701,4109.2806,1328.9070000000002,2538.5888,Infected
309,1246.2413,779.3917,695.616,1794.5084000000002,Infected
310,2933.2609,0.0,640.881,2269.147,Infected
312,4483.1729000000005,0.0,765.7468,1509.1487000000002,Infected
318,1307.5825,4402.1751,821.2706,0.0,Infected
340,4228.178800000001,806.7293,1036.8651,2673.4156000000003,Infected
367,2031.1879,825.7477,697.2537,897.6791,Infected
387,859.5048,0.0,4641.2044000000005,0.0,Infected
396,741.7333,1632.1224,2522.2569999999996,705.3433,Infected
403,6935.4069,1656.9831,4747.1837,671.06,Infected
405,2244.529,3103.759,2446.3711,1373.8618,Infected
408,1656.4445,3565.5052,1520.5082,967.8839,Infected
410,2844.7476,1989.4038,1169.4338,0.0,Infected
422,2444.3349,0.0,6003.6981000000005,998.5221,Infected
426,729.3666,0.0,2376.0823,0.0,Infected
431,3369.2014999999997,1537.0382,3700.6409999999996,0.0,Infected
433,942.2706,822.2523,4883.1155,635.3961,Infected
439,989.4955,796.6509,2526.084,0.0,Infected
441,3885.1568,1376.8279,5908.7356,0.0,Infected
442,1198.5935,0.0,1788.467,0.0,Infected
444,2873.0954,2956.2463,964.1721,0.0,Infected
449,1341.5673,0.0,1521.8408,1214.3401,Infected
450,1398.7996,0.0,2269.4114,0.0,Infected
452,1919.5417,845.4672,976.3804,983.5105,Infected
454,1032.8191,1736.7667999999999,3291.0771000000004,0.0,Infected
455,4256.9893,0.0,1185.167,717.2044,Infected
458,1545.4614000000001,765.7308,1307.0122,684.7845,Infected
459,2944.9681,0.0,2078.9231,0.0,Infected
462,1652.8318,1492.9539,2716.6288,1235.972,Infected
464,1926.8033,1592.663,1035.3862,0.0,Infected
468,690.2857,3390.4875,1393.2664,1051.7982,Infected
471,657.0213,0.0,1231.8469,0.0,Infected
472,1547.1026000000002,0.0,2414.438,962.3128,Infected
473,867.8916,0.0,4254.7898,0.0,Infected
476,2138.2905,0.0,1423.5959,0.0,Infected
477,770.8881,776.0,1155.1527,0.0,Infected
481,1717.8268,0.0,5411.0179,1117.8319,Infected
485,1452.1841,0.0,957.2901,0.0,Infected
486,3180.872,0.0,3514.6083,0.0,Infected
490,2935.3298999999997,0.0,3851.8413,794.0385,Infected
491,1795.2509,0.0,3372.769,0.0,Infected
498,1505.0294,2283.4857,1122.8043,0.0,Infected
499,2548.7001,1504.6653000000001,5320.9932,0.0,Infected
502,6042.672199999999,0.0,8338.2075,3294.1074,Infected
505,876.0769,3956.342,1951.4496,1274.9746,Infected
509,3378.5535,0.0,7050.684899999999,0.0,Infected
510,4017.0615,0.0,6529.9796,994.9318,Infected
513,1005.3623,0.0,2554.7214,0.0,Infected
514,933.572,0.0,1185.037,0.0,Infected
518,1592.2468,0.0,1779.5349,0.0,Infected
519,4036.0183,935.691,1310.5714,0.0,Infected
522,4847.9574,0.0,2705.0513,0.0,Infected
525,725.6017,0.0,4475.9092,0.0,Infected
526,3007.1544,5437.0327,1650.0037,1846.1131,Infected
527,654.6803,0.0,2767.2984,0.0,Infected
529,5036.1283,968.4361,1016.934,0.0,Infected
530,774.1078,0.0,1292.0641,641.7778,Infected
533,3181.5745,0.0,1433.6052,0.0,Infected
535,2073.9654,1660.0061,4988.5471,0.0,Infected
537,832.0972,738.2871,1405.354,0.0,Infected
540,1347.1586,0.0,2152.2153,0.0,Infected
544,4167.6618,2307.2507,2731.1161,1676.8626,Infected
551,4395.0288,0.0,9766.4024,7915.8163,Infected
553,1019.4568,0.0,5430.301399999999,663.1869,Infected
572,3216.8447,0.0,1007.3,0.0,Infected
580,1039.3014,985.1168,4366.6101,0.0,Infected
588,3310.0442000000003,0.0,5142.375,0.0,Infected
592,3124.6627000000003,0.0,1596.5331,0.0,Infected
593,911.104,0.0,5239.983,0.0,Infected
594,1322.2274,0.0,1208.233,0.0,Infected
596,8313.314600000002,0.0,941.9507,0.0,Infected
619,710.4724,1726.3604,1155.9747,0.0,Infected
624,1078.611,0.0,1142.1387,0.0,Infected
631,678.9314,0.0,1187.2079,0.0,Infected
643,703.5095,1377.3527,5164.8240000000005,0.0,Infected
686,680.1442,1025.6699,5181.404700000001,2828.1222,Infected
694,882.125,0.0,1387.686,3005.9492,Infected
703,2070.4636,0.0,2491.1773000000003,4291.2029,Infected
728,686.6429,1654.0486,4291.6,894.6464,Infected
742,4258.064200000001,0.0,1000.6129,2513.8737,Infected
748,926.4424,2691.6579,3249.0006,4525.7881,Infected
754,1384.9648000000002,1634.6547999999998,2035.3077,6235.694299999999,Infected
759,825.9321,0.0,8249.7232,6570.2004,Infected
764,17866.8764,845.1644,4538.558800000001,0.0,Infected
769,2188.237,2150.7056,2545.194,3932.3513000000003,Infected
784,907.7,984.9673,2003.9922,1750.9215,Infected
797,3433.2,835.3374,4825.8998,0.0,Infected
818,1307.5804,4080.5614,6051.7307,794.5905,Infected
841,763.2077,0.0,4689.0769,698.1218,Infected
867,1212.3556,1962.3677000000002,2389.7165999999997,4019.7027999999996,Infected
875,13726.843900000002,2308.6841,4695.9858,2909.8363,Infected
895,1356.2545,792.4872,2241.8057,1517.5193,Infected
902,1725.333,0.0,6300.4834,1278.9171999999999,Infected
905,2207.0906999999997,0.0,3971.9749,4558.0472,Infected
906,1475.2212,0.0,2673.4221,1424.3024,Infected
907,10063.6809,0.0,2061.643,3240.9907999999996,Infected
908,1362.0037,1758.6294,1622.6577,2989.4591,Infected
909,1426.6206,0.0,2418.9156,2643.6675999999998,Infected
916,2445.4323999999997,1269.3759,791.2672,1986.3616,Infected
919,962.0847,1450.0,2701.886,0.0,Infected
920,5934.2402,0.0,3533.2064,0.0,Infected
921,1083.6344,0.0,1789.3811,663.5463,Infected
922,1102.2698,0.0,2437.3702,652.8273,Infected
925,1328.0435,4866.9617,866.5481,796.2951,Infected
926,1365.9858,3727.5366,1678.2552,0.0,Infected
927,882.1284,4024.3368,1706.4453,0.0,Infected
928,3038.5571,0.0,2544.5321000000004,646.2704,Infected
930,687.2927,0.0,1591.8154,0.0,Infected
932,1077.7054,0.0,753.2509,0.0,Infected
933,1927.3901,1758.8036,5821.007100000001,0.0,Infected
937,2628.2434,2323.1233,1627.5365000000002,0.0,Infected
938,1662.0015,0.0,2312.41,0.0,Infected
940,1098.3289,0.0,2554.8487999999998,0.0,Infected
942,1242.7565,0.0,4745.9623,0.0,Infected
943,2284.0996,0.0,870.0118,0.0,Infected
947,2432.7210999999998,4101.445,893.0197,0.0,Infected
949,2525.2846,1445.301,944.1414,643.8793,Infected
950,843.0326,0.0,1795.214,0.0,Infected
951,703.6263,1145.1909,1609.2817,0.0,Infected
956,1907.0061,1425.24,2436.0419,651.9565,Infected
958,3147.3139,0.0,1047.6323,0.0,Infected
962,1864.5131000000001,1051.8131,4578.8342,5185.5801,Infected
965,744.2743,0.0,937.7521,1913.2797,Infected
967,845.479,0.0,1676.2451999999998,0.0,Infected
970,1430.9659000000001,0.0,769.8538,0.0,Infected
975,1549.9976000000001,0.0,1113.2128,0.0,Infected
976,2666.4597,0.0,7133.163,0.0,Infected
977,1116.411,1038.9117,755.5035,698.8762,Infected
978,773.4441,0.0,2917.0559000000003,0.0,Infected
979,2983.119,0.0,892.0507,0.0,Infected
980,1523.5964,1755.6538,745.7105,1845.5647,Infected
981,1304.6575,0.0,2946.6102,1159.8176,Infected
984,5418.8068,0.0,3047.4618,640.0585,Infected
985,939.1481,0.0,5773.4864,1723.8992,Infected
989,1828.8959,0.0,5644.610000000001,2550.6281,Infected
992,873.4112,1626.1857,855.9333,4531.7735999999995,Infected
996,828.1854,0.0,3514.2856,0.0,Infected
1004,1805.6263,1549.4454,3005.9786,644.0336,Infected
1005,3746.1668,2705.0254,1663.2539,1321.4688,Infected
1008,725.9901,0.0,1588.6102,0.0,Infected
1010,805.8924,0.0,815.1679,0.0,Infected
1017,2241.0591999999997,1629.5728,2031.3901,0.0,Infected
1021,1370.8704,0.0,2574.444,0.0,Infected
1027,667.8761,0.0,3214.2816,0.0,Infected
1029,695.697,1020.1739,1704.5434,684.905,Infected
1030,821.9208,0.0,785.1325,654.402,Infected
1034,4897.9595,0.0,851.0432,666.6276,Infected
1036,744.8613,0.0,893.0903,0.0,Infected
1037,5619.8111,0.0,4384.7702,662.8835,Infected
1040,5593.097400000001,2095.1433,2519.0775,0.0,Infected
1041,3646.3149,0.0,793.8209,0.0,Infected
1042,3703.8968,0.0,3359.7021999999997,0.0,Infected
1043,1106.3918,0.0,1537.9049,0.0,Infected
1044,4022.1334,0.0,1714.1433000000002,0.0,Infected
1047,2143.7048,0.0,3535.8936,0.0,Infected
1051,4325.2515,0.0,1824.1035000000002,0.0,Infected
1054,2225.7065,1327.4919,821.5,0.0,Infected
1056,1012.1063,0.0,1113.8733,0.0,Infected
1060,957.4125,0.0,834.1951,0.0,Infected
1063,2198.9974,0.0,2253.3021,0.0,Infected
1067,5800.9157,2231.1002,3249.1555,0.0,Infected
1068,671.0166,0.0,864.4286,0.0,Infected
1069,882.7525,0.0,812.4213,0.0,Infected
1071,691.5905,1368.7794,726.4878,0.0,Infected
1073,719.2836,0.0,774.064,0.0,Infected
1074,8770.3417,1093.1971,946.8158,0.0,Infected
1085,801.2973,5818.3175,1735.3218000000002,0.0,Infected
1092,1078.4966,0.0,4459.6956,0.0,Infected
1093,1106.157,0.0,1243.5538,0.0,Infected
1097,1165.8033,0.0,3161.6389,0.0,Infected
1098,3224.95,0.0,2349.4865,781.6548,Infected
1104,1673.433,0.0,1769.4697,0.0,Infected
1105,3190.0707,0.0,3188.8784,0.0,Infected
1109,4207.5363,0.0,1763.2545,0.0,Infected
1111,2309.1663,0.0,3232.9999,0.0,Infected
1115,1588.6309,0.0,2367.6072,0.0,Infected
1118,1933.0825,0.0,966.5738,0.0,Infected
1119,1583.0785,0.0,1915.1390999999999,0.0,Infected
1125,1948.4638,0.0,2864.4542,1170.0088,Infected
1126,2203.6599,0.0,741.7709,0.0,Infected
1130,710.5826,3340.0564,3302.3298,0.0,Infected
1132,956.8258,0.0,845.8613,2641.9528,Infected
1216,644.0611,1806.6337,1673.4071,0.0,Infected
1225,685.5809,1762.6538,763.2381,1297.9694,Infected
1240,620.4426,875.8013,731.7867,0.0,Infected
1242,932.6107,3543.9074,1672.5948,0.0,Infected
1260,661.9457,6273.1652,828.5484,0.0,Infected
1272,982.1058,1532.9939,3089.1164,0.0,Infected
1289,949.8221,888.3158,1220.25,0.0,Infected
1513,1229.4836,0.0,940.4236,0.0,Infected
1564,938.5183,2615.4254,2324.5815,0.0,Infected
1570,1143.2677,0.0,1559.3829999999998,2911.0528999999997,Infected
1658,655.1225,1701.5342999999998,7234.3,0.0,Infected
1666,891.9213,2396.6102,1656.5414,0.0,Infected
1709,2745.1133,0.0,2285.118,2317.5853,Infected
1744,1174.9648,1262.0072,2790.5503,0.0,Infected
1772,3931.7090000000003,0.0,702.4019,0.0,Infected
2076,629.0602,0.0,2883.7323,7207.2194,Infected
2091,1468.9231,6079.7835000000005,1153.1981,1480.1397,Infected
2130,2689.355,660.6497,2093.0722,0.0,Infected
2131,952.9583,0.0,1584.0682,1481.4222,Infected
2143,1008.4382,0.0,2988.0299,0.0,Infected
2152,2186.2071,0.0,2759.7,747.0642,Infected
2154,3033.6908000000003,21321.133599999994,6769.7197,0.0,Infected
2180,725.5555,770.6616,1372.8645,3386.9261,Infected
2243,858.0625,1481.9206,836.4129,847.4863,Infected
2252,621.1761,1329.1054,2796.9605,1771.0015,Infected
2407,640.3727,662.8509,1178.325,0.0,Infected
2431,786.8807,2039.4308,1234.2079,1046.1356,Infected
2508,734.5585,1432.5074,866.875,4269.1265,Infected
2546,606.5714,1315.3104,3495.1052,715.3095,Infected
2555,693.6336,5803.9455,784.5284,720.4351,Infected
2563,1496.8977,0.0,692.6147,3131.9691000000003,Infected
2567,825.3235,0.0,2755.0474,0.0,Infected
2575,586.2123,0.0,3151.6405,0.0,Infected
2591,574.297,0.0,977.5071,0.0,Infected
2592,1499.4031,5204.245199999999,649.9933,0.0,Infected
2602,1878.719,0.0,1363.8942,884.8151,Infected
2628,561.475,877.1746,793.9329,2108.6666,Infected
2634,765.6534,862.6696,1472.6832,0.0,Infected
2648,593.0793,988.9627,691.4591,0.0,Infected
2657,3364.9373,0.0,1489.6855,2683.9281,Infected
2671,768.9882,0.0,2060.5002999999997,0.0,Infected
2673,871.3203,0.0,1784.1168,0.0,Infected
2683,687.4318,0.0,4110.3947,1136.8705,Infected
2690,690.1364,0.0,6252.765899999999,0.0,Infected
2705,608.843,0.0,687.8972,0.0,Infected
2729,1409.0577,1639.2023,1913.172,0.0,Infected
2742,1584.75,2246.1632,546.7603,2885.7537,Infected
2752,987.991,0.0,1778.7568,0.0,Infected
2754,5552.4563,1342.9074,1618.2752,555.4276,Infected
2765,1061.7333,2109.1052,1325.5036,1029.4646,Infected
2791,2046.7703000000001,659.1545,1882.9396000000002,1901.143,Infected
2810,1893.5839,1608.3009,772.1007,727.201,Infected
2816,1035.3557,2929.6696,2479.2931,0.0,Infected
2841,935.2349,2608.8486,3850.7859,1150.4468,Infected
2885,1707.2692000000002,1784.194,1297.4343,807.6151,Infected
2889,1287.4391,0.0,1073.7551,0.0,Infected
2892,875.9811,881.1456,1104.0312,0.0,Infected
2955,1257.8536,0.0,3276.7918,1606.3420999999998,Infected
2999,10497.8892,0.0,1351.3258,1554.2573,Infected
3043,846.5643,697.121,2539.1826,1764.9151000000002,Infected
3086,1555.515,676.1855,1387.3616,646.0182,Infected
3346,888.681,0.0,7136.1963000000005,2899.9008,Infected
3529,1193.3163,822.2837,1103.4777,1595.6169,Infected
3536,1005.4902,1656.1529999999998,897.9086,812.2006,Infected
3644,716.9323,1333.9598999999998,982.7196,0.0,Infected
3662,1012.6558,922.7457,1035.8309,0.0,Infected
3707,1252.959,0.0,657.4433,2647.4636,Infected
